fetched_at,ticker
2026-06-08T22:46:03,300866.SZ
2026-06-08T22:46:03,300765.SZ
2026-06-08T22:46:03,300476.SZ
2026-06-08T22:46:03,002625.SZ
2026-06-08T22:46:03,002384.SZ
2026-06-08T22:46:03,001391.SZ
2026-06-08T22:46:03,000408.SZ
2026-06-08T22:46:03,302132.SZ
2026-06-08T22:46:03,002600.SZ
2026-06-08T22:46:03,300442.SZ
2026-06-08T22:46:03,300502.SZ
2026-06-08T22:46:03,300394.SZ
2026-06-08T22:46:03,002422.SZ
2026-06-08T22:46:03,002028.SZ
2026-06-08T22:46:03,001872.SZ
2026-06-08T22:46:03,000975.SZ
2026-06-08T22:46:03,000977.SZ
2026-06-08T22:46:03,000999.SZ
2026-06-08T22:46:03,002252.SZ
2026-06-08T22:46:03,002463.SZ
2026-06-08T22:46:03,002648.SZ
2026-06-08T22:46:03,300418.SZ
2026-06-08T22:46:03,300832.SZ
2026-06-08T22:46:03,001965.SZ
2026-06-08T22:46:03,300308.SZ
2026-06-08T22:46:03,301269.SZ
2026-06-08T22:46:03,002920.SZ
2026-06-08T22:46:03,001289.SZ
2026-06-08T22:46:03,300661.SZ
2026-06-08T22:46:03,002466.SZ
2026-06-08T22:46:03,300979.SZ
2026-06-08T22:46:03,300628.SZ
2026-06-08T22:46:03,000792.SZ
2026-06-08T22:46:03,000301.SZ
2026-06-08T22:46:03,300896.SZ
2026-06-08T22:46:03,300274.SZ
2026-06-08T22:46:03,002601.SZ
2026-06-08T22:46:03,002049.SZ
2026-06-08T22:46:03,002460.SZ
2026-06-08T22:46:03,300999.SZ
2026-06-08T22:46:03,000708.SZ
2026-06-08T22:46:03,002050.SZ
2026-06-08T22:46:03,002371.SZ
2026-06-08T22:46:03,300014.SZ
2026-06-08T22:46:03,000596.SZ
2026-06-08T22:46:03,002179.SZ
2026-06-08T22:46:03,002916.SZ
2026-06-08T22:46:03,300033.SZ
2026-06-08T22:46:03,003816.SZ
2026-06-08T22:46:03,002311.SZ
2026-06-08T22:46:03,300413.SZ
2026-06-08T22:46:03,002938.SZ
2026-06-08T22:46:03,002493.SZ
2026-06-08T22:46:03,300122.SZ
2026-06-08T22:46:03,300750.SZ
2026-06-08T22:46:03,300760.SZ
2026-06-08T22:46:03,000661.SZ
2026-06-08T22:46:03,002001.SZ
2026-06-08T22:46:03,002714.SZ
2026-06-08T22:46:03,300015.SZ
2026-06-08T22:46:03,000786.SZ
2026-06-08T22:46:03,300433.SZ
2026-06-08T22:46:03,000617.SZ
2026-06-08T22:46:03,000425.SZ
2026-06-08T22:46:03,000963.SZ
2026-06-08T22:46:03,002352.SZ
2026-06-08T22:46:03,300408.SZ
2026-06-08T22:46:03,000938.SZ
2026-06-08T22:46:03,002027.SZ
2026-06-08T22:46:03,001979.SZ
2026-06-08T22:46:03,300498.SZ
2026-06-08T22:46:03,002736.SZ
2026-06-08T22:46:03,300059.SZ
2026-06-08T22:46:03,000166.SZ
2026-06-08T22:46:03,002475.SZ
2026-06-08T22:46:03,300124.SZ
2026-06-08T22:46:03,002594.SZ
2026-06-08T22:46:03,000333.SZ
2026-06-08T22:46:03,000725.SZ
2026-06-08T22:46:03,002230.SZ
2026-06-08T22:46:03,002236.SZ
2026-06-08T22:46:03,002415.SZ
2026-06-08T22:46:03,002241.SZ
2026-06-08T22:46:03,000776.SZ
2026-06-08T22:46:03,002304.SZ
2026-06-08T22:46:03,000876.SZ
2026-06-08T22:46:03,002142.SZ
2026-06-08T22:46:03,000100.SZ
2026-06-08T22:46:03,000338.SZ
2026-06-08T22:46:03,000768.SZ
2026-06-08T22:46:03,000538.SZ
2026-06-08T22:46:03,000157.SZ
2026-06-08T22:46:03,000568.SZ
2026-06-08T22:46:03,000001.SZ
2026-06-08T22:46:03,000002.SZ
2026-06-08T22:46:03,000063.SZ
2026-06-08T22:46:03,000625.SZ
2026-06-08T22:46:03,000651.SZ
2026-06-08T22:46:03,000858.SZ
2026-06-08T22:46:03,000895.SZ
