fetched_at,ticker
2026-05-07T14:47:16,ADBE
2026-05-07T14:47:16,AMD
2026-05-07T14:47:16,ABNB
2026-05-07T14:47:16,ALNY
2026-05-07T14:47:16,GOOGL
2026-05-07T14:47:16,GOOG
2026-05-07T14:47:16,AMZN
2026-05-07T14:47:16,AEP
2026-05-07T14:47:16,AMGN
2026-05-07T14:47:16,ADI
2026-05-07T14:47:16,AAPL
2026-05-07T14:47:16,AMAT
2026-05-07T14:47:16,APP
2026-05-07T14:47:16,ARM
2026-05-07T14:47:16,ASML
2026-05-07T14:47:16,ADSK
2026-05-07T14:47:16,ADP
2026-05-07T14:47:16,AXON
2026-05-07T14:47:16,BKR
2026-05-07T14:47:16,BKNG
2026-05-07T14:47:16,AVGO
2026-05-07T14:47:16,CDNS
2026-05-07T14:47:16,CHTR
2026-05-07T14:47:16,CTAS
2026-05-07T14:47:16,CSCO
2026-05-07T14:47:16,CCEP
2026-05-07T14:47:16,CTSH
2026-05-07T14:47:16,CMCSA
2026-05-07T14:47:16,CEG
2026-05-07T14:47:16,CPRT
2026-05-07T14:47:16,CSGP
2026-05-07T14:47:16,COST
2026-05-07T14:47:16,CRWD
2026-05-07T14:47:16,CSX
2026-05-07T14:47:16,DDOG
2026-05-07T14:47:16,DXCM
2026-05-07T14:47:16,FANG
2026-05-07T14:47:16,DASH
2026-05-07T14:47:16,EA
2026-05-07T14:47:16,EXC
2026-05-07T14:47:16,FAST
2026-05-07T14:47:16,FER
2026-05-07T14:47:16,FTNT
2026-05-07T14:47:16,GEHC
2026-05-07T14:47:16,GILD
2026-05-07T14:47:16,HON
2026-05-07T14:47:16,IDXX
2026-05-07T14:47:16,INSM
2026-05-07T14:47:16,INTC
2026-05-07T14:47:16,INTU
2026-05-07T14:47:16,ISRG
2026-05-07T14:47:16,KDP
2026-05-07T14:47:16,KLAC
2026-05-07T14:47:16,KHC
2026-05-07T14:47:16,LRCX
2026-05-07T14:47:16,LIN
2026-05-07T14:47:16,MAR
2026-05-07T14:47:16,MRVL
2026-05-07T14:47:16,MELI
2026-05-07T14:47:16,META
2026-05-07T14:47:16,MCHP
2026-05-07T14:47:16,MU
2026-05-07T14:47:16,MSFT
2026-05-07T14:47:16,MSTR
2026-05-07T14:47:16,MDLZ
2026-05-07T14:47:16,MPWR
2026-05-07T14:47:16,MNST
2026-05-07T14:47:16,NFLX
2026-05-07T14:47:16,NVDA
2026-05-07T14:47:16,NXPI
2026-05-07T14:47:16,ORLY
2026-05-07T14:47:16,ODFL
2026-05-07T14:47:16,PCAR
2026-05-07T14:47:16,PLTR
2026-05-07T14:47:16,PANW
2026-05-07T14:47:16,PAYX
2026-05-07T14:47:16,PYPL
2026-05-07T14:47:16,PDD
2026-05-07T14:47:16,PEP
2026-05-07T14:47:16,QCOM
2026-05-07T14:47:16,REGN
2026-05-07T14:47:16,ROP
2026-05-07T14:47:16,ROST
2026-05-07T14:47:16,SNDK
2026-05-07T14:47:16,STX
2026-05-07T14:47:16,SHOP
2026-05-07T14:47:16,SBUX
2026-05-07T14:47:16,SNPS
2026-05-07T14:47:16,TMUS
2026-05-07T14:47:16,TTWO
2026-05-07T14:47:16,TSLA
2026-05-07T14:47:16,TXN
2026-05-07T14:47:16,TRI
2026-05-07T14:47:16,VRSK
2026-05-07T14:47:16,VRTX
2026-05-07T14:47:16,WMT
2026-05-07T14:47:16,WBD
2026-05-07T14:47:16,WDC
2026-05-07T14:47:16,WDAY
2026-05-07T14:47:16,XEL
2026-05-07T14:47:16,ZS
